word_id,source_range,單字,詞性,定義,用法,詞性變化,三態（現在式-過去式-過去分詞）,現在分詞（V-ing）,常見搭配,相關字,同義字,反義字,範例
W064,41-45,territorial imperative,n.,領土本能；領域性驅力,文章用 almost animal instinct for the territorial imperative 解釋羅馬重視土地的特質。,固定學術片語。,,,territorial imperative：領域性本能；territorial defense：領土防衛；territorial expansion：領土擴張,land：土地；territory：領土；settlement：定居,territorial instinct：領域本能,,Roman priorities reflected a territorial imperative.：羅馬優先事項反映了領土本能。
W065,41-45,exploitation,n.,開發利用；剝削,"羅馬優先事項包含 territory 的 organization, exploitation, and defense。",動詞 exploit；形容詞 exploitative。,,,exploitation of territory：領土開發利用；resource exploitation：資源開發；labor exploitation：勞動剝削,organization：組織；defense：防衛；territory：領土,use：利用；development：開發,protection：保護,Rome focused on the exploitation and defense of territory.：羅馬重視領土的開發與防衛。
W066,41-45,foster,v.,培養；促進；扶植,文章說對土地和鄉村穩定生活的依附 fostered Roman virtues。,也可作形容詞 foster child：寄養兒童。,foster-fostered-fostered,fostering,foster virtues：培養美德；foster growth：促進成長；foster cooperation：促進合作,virtue：美德；stability：穩定；rural life：鄉村生活,cultivate：培養；promote：促進,hinder：阻礙,Rural life fostered Roman virtues.：鄉村生活培養了羅馬美德。
W067,41-45,predisposed,adj.,傾向於……的；易受……影響的,文中 power worshippers are predisposed to admire whatever is strong。,動詞 predispose；名詞 predisposition。,,,be predisposed to admire：傾向於欣賞；genetic predisposition：遺傳傾向；predisposed toward：傾向於,attitude：態度；historian：歷史學家；power：權力,inclined：傾向的；prone：易於……的,disinclined：不願的,Some historians are predisposed to admire power.：有些歷史學家傾向崇拜權力。
W068,41-45,derivative,adj./n.,衍生的；缺乏原創性的；衍生物,批評者認為 Rome was derivative，意指羅馬文明多承襲希臘而非原創。,動詞 derive；名詞 derivation。,,,derivative work：衍生作品；derivative civilization：衍生文明；derive from：源自,originality：原創性；imitation：模仿；influence：影響,imitative：模仿的；secondary：次級的,original：原創的,Some critics considered Rome derivative.：有些批評者認為羅馬缺乏原創性。
W069,41-45,disdain,n./v.,輕視；鄙視,Horace 句中 hold novelty in disdain 表示輕視新穎事物。,可作名詞或動詞。,disdain-disdained-disdained,disdaining,hold in disdain：輕視；show disdain for：表現輕蔑；treat with disdain：以輕蔑態度對待,novelty：新穎；tradition：傳統；intellectual：知識分子,contempt：輕蔑；scorn：鄙視,respect：尊重,They held novelty in disdain.：他們輕視新穎事物。
W070,41-45,speculative,adj.,思辨的；推測性的；投機的,文章說 Romans 在 speculative philosophy and sciences 幾乎未超越早期成就。,名詞 speculation；動詞 speculate。,,,speculative philosophy：思辨哲學；speculative idea：推測性想法；speculative investment：投機投資,philosophy：哲學；science：科學；achievement：成就,theoretical：理論的；conjectural：推測的,practical：實務的,Rome made little advance in speculative philosophy.：羅馬在思辨哲學上進展有限。
W071,41-45,sensibility,n.,感受力；審美能力；敏感性,文章說羅馬國家內部張力產生高水準的 literary and artistic sensibilities。,複數 sensibilities 常指審美/感受特質。,,,artistic sensibility：藝術感受力；literary sensibility：文學感受力；modern sensibility：現代感性,literature：文學；art：藝術；tension：張力,sensitivity：敏感性；awareness：覺察,insensitivity：遲鈍,Roman tensions produced artistic sensibilities.：羅馬內部張力產生了藝術感受力。
W072,46-50,embedded,adj.,嵌入式的；內建的,AI-embedded clinical decision support 指嵌入 AI 的臨床決策支援。,動詞 embed；名詞 embedding。,,,AI-embedded CDS：嵌入 AI 的臨床決策支援；embedded system：嵌入式系統；be embedded in：嵌入於,algorithm：演算法；clinical decision support：臨床決策支援；healthcare：醫療照護,integrated：整合的；built-in：內建的,standalone：獨立的,AI-embedded CDS can improve diagnosis.：嵌入 AI 的臨床決策支援可改善診斷。
W073,46-50,demographic,adj./n.,人口統計的；人口族群,AI 表現可能因 demographic groups 不同而改變，造成診斷或治療不正確。,名詞 demographics：人口統計資料。,,,demographic group：人口族群；demographic data：人口統計資料；demographic change：人口結構變化,population：族群；diagnosis：診斷；treatment：治療,population-based：以族群為基礎的,,AI may perform differently across demographic groups.：AI 在不同人口族群中表現可能不同。
W074,46-50,clinician,n.,臨床醫師；臨床工作者,醫療 AI 脈絡中指實際照護病人的醫療專業人員。,形容詞 clinical；名詞 clinic。,,,train clinicians：訓練臨床人員；clinician workflow：臨床工作流程；experienced clinician：有經驗的臨床醫師,patient：病人；diagnosis：診斷；medical decision：醫療決策,practitioner：臨床工作者；physician：醫師,,Improper training can lead clinicians to misuse AI.：訓練不當可能使臨床人員誤用 AI。
W075,46-50,mitigate,v.,減輕；緩解；降低,文章說需要用計畫和模擬來 mitigate potential harms。,名詞 mitigation。,mitigate-mitigated-mitigated,mitigating,mitigate harm：降低傷害；mitigate risk：降低風險；mitigation strategy：緩解策略,harm：傷害；risk：風險；simulation：模擬,reduce：降低；alleviate：減輕,aggravate：加劇,Simulation can mitigate potential harms.：模擬可以降低潛在傷害。
W076,46-50,deployment,n.,部署；配置；實施,HHS task force 要確保 AI deployment 減少病人傷害。,動詞 deploy。,,,AI deployment：AI 部署；safe deployment：安全部署；deployment plan：部署計畫,task force：專案小組；hospital：醫院；healthcare technology：醫療科技,implementation：實施；rollout：推出,withdrawal：撤回,The task force oversees AI deployment in healthcare.：專案小組監督醫療 AI 部署。
W077,46-50,noncompliance,n.,不遵守；違規,監管脈絡中指未遵守健康與安全標準的情形。,動詞 comply；名詞 compliance；形容詞 compliant。,,,regulatory noncompliance：法規不遵守；noncompliance with standards：未遵守標準；investigate noncompliance：調查違規,standard：標準；inspection：檢查；agency：機關,violation：違規；failure to comply：未遵守,compliance：遵守,Agencies investigate noncompliance with safety standards.：機關調查未遵守安全標準的情形。
W478,46-50,compliance,n.,遵守；合規,字首反義詞補充列；去除字首 non-，形成反義詞。,去除字首 non-，形成反義詞。,,,regulatory compliance：法規遵循；compliance with standards：遵守標準；ensure compliance：確保合規,standard：標準；policy：政策；inspection：檢查,obedience：遵守；conformity：符合,noncompliance：不遵守,compliance is the prefix antonym form recorded for review.：compliance 是本列補充的字首反義詞，供複習使用。
W078,46-50,accountability,n.,問責；責任歸屬,可信任 AI 原則之一，要求系統使用者與治理者能被追責。,形容詞 accountable。,,,ensure accountability：確保問責；accountability mechanism：問責機制；public accountability：公共問責,transparency：透明；equity：公平；governance：治理,responsibility：責任；answerability：可問責性,impunity：不受懲罰,AI governance should ensure accountability.：AI 治理應確保問責。
W079,46-50,equity,n.,公平；平等；權益,可信任 AI 原則之一，強調不同族群在醫療 AI 使用上不應受不公平對待。,形容詞 equitable。,,,health equity：健康公平；equity and fairness：公平與公正；promote equity：促進公平,bias：偏誤；demographic group：人口族群；civil rights：公民權,fairness：公正；justice：正義,inequity：不公平,AI systems should promote equity in patient care.：AI 系統應促進病人照護公平。
W477,46-50,inequity,n.,不公平；不平等,字首反義詞補充列；加上字首 in-，形成反義詞。,加上字首 in-，形成反義詞。,,,health inequity：健康不平等；social inequity：社會不公平；reduce inequity：減少不平等,bias：偏誤；fairness：公正；civil rights：公民權,unfairness：不公平；injustice：不正義,equity：公平,inequity is the prefix antonym form recorded for review.：inequity 是本列補充的字首反義詞，供複習使用。
W080,46-50,corrective action plan,n.,矯正行動計畫；改善計畫,CMS 可要求醫院在流程無法保護病人安全時提出 corrective action plans。,固定管理與監管片語。,,,require a corrective action plan：要求改善計畫；implement corrective action：執行矯正措施；corrective action process：矯正流程,CMS：美國醫療保險與醫療補助服務中心；patient safety：病人安全；procedure：程序,remediation plan：補救計畫；improvement plan：改善計畫,,CMS can require corrective action plans.：CMS 可要求提出矯正行動計畫。
W081,1,tsunami,n.,海嘯,自然災害名詞，題句中表示造成村莊被淹沒的原因。,,,,tsunami warning：海嘯警報；tsunami damage：海嘯災害；be hit by a tsunami：遭海嘯襲擊,village：村莊；coast：海岸；disaster：災害,,,This exam uses a tsunami in context.：這份考卷在語境中使用 tsunami。
W082,1,village,n.,村莊,基礎地點名詞，表示較小的聚落。,,,,fishing village：漁村；remote village：偏遠村莊；village residents：村民,town：城鎮；resident：居民；community：社區,,,This exam uses a village in context.：這份考卷在語境中使用 village。
W083,1,infatuated,adj.,迷戀的；一時著迷的,第1題干擾選項，常用 be infatuated with + 人/事物。,,,,be infatuated with：迷戀……；infatuated teenager：迷戀中的青少年；temporary infatuation：一時迷戀,love：愛；obsession：迷戀；admiration：欣賞,,,This exam uses an infatuated in context.：這份考卷在語境中使用 infatuated。
W084,1,indulge,v.,沉溺；縱容；享用,第1題干擾選項 indulged 的原形，常用 indulge in + 活動。,,,,indulge in sweets：沉迷甜食；indulge a child：縱容孩子；self-indulgence：自我放縱,habit：習慣；pleasure：愉悅；desire：慾望,,,This exam uses an indulge in context.：這份考卷在語境中使用 indulge。
W085,1,indisposed,adj.,身體不適的；不願意的,第1題干擾選項，可表示輕微生病或不願做某事。,,,,feel indisposed：覺得不舒服；be indisposed to help：不願幫忙；temporarily indisposed：暫時不適,illness：疾病；reluctance：不情願；condition：狀態,,,This exam uses an indisposed in context.：這份考卷在語境中使用 indisposed。
W086,2,constantly,adv.,不斷地；經常地,題句中表示他一直受到敵人迫害。,,,,constantly changing：不斷改變；constantly persecuted：不斷被迫害；constantly worried：經常擔心,frequency：頻率；habit：習慣；pressure：壓力,,,This exam uses a constantly in context.：這份考卷在語境中使用 constantly。
W087,2,persecute,v.,迫害；虐待,題句中 was persecuted by 表示被敵人迫害。,,,,persecute minorities：迫害少數族群；religious persecution：宗教迫害；be persecuted by：被……迫害,enemy：敵人；oppression：壓迫；victim：受害者,,,This exam uses a persecute in context.：這份考卷在語境中使用 persecute。
W088,2,enemy,n.,敵人；敵方,基礎名詞，題句中指 persecuted by his enemies。,,,,defeat an enemy：擊敗敵人；political enemy：政治敵人；enemy forces：敵軍,conflict：衝突；war：戰爭；opponent：對手,,,This exam uses an enemy in context.：這份考卷在語境中使用 enemy。
W089,2,impermeable,adj.,不可滲透的,第2題干擾選項，常用於材料或膜。,,,,impermeable membrane：不可滲透膜；impermeable rock：不透水岩層；impermeable barrier：不透屏障,waterproof：防水的；membrane：薄膜；barrier：屏障,,,This exam uses an impermeable in context.：這份考卷在語境中使用 impermeable。
W470,2,permeable,adj.,可滲透的；能透過的,字首反義詞補充列；去除字首 im-，形成反義詞。,去除字首 im-，形成反義詞。,,,permeable membrane：可滲透膜；permeable rock：透水岩層；permeable surface：可滲透表面,membrane：薄膜；water：水；material：材料,penetrable：可穿透的,impermeable：不可滲透的,permeable is the prefix antonym form recorded for review.：permeable 是本列補充的字首反義詞，供複習使用。
W090,2,impaired,adj.,受損的；功能減弱的,第2題干擾選項，常見於聽力、視力或功能受損。,,,,impaired vision：視力受損；impaired function：功能受損；hearing-impaired：聽障的,disability：障礙；function：功能；damage：損害,,,This exam uses an impaired in context.：這份考卷在語境中使用 impaired。
W471,2,unimpaired,adj.,未受損的；完好的,字首反義詞補充列；加上字首 un-，形成反義詞。,加上字首 un-，形成反義詞。,,,unimpaired vision：未受損的視力；remain unimpaired：保持完好；unimpaired function：功能未受損,function：功能；vision：視力；health：健康,intact：完好的,impaired：受損的,unimpaired is the prefix antonym form recorded for review.：unimpaired 是本列補充的字首反義詞，供複習使用。
W091,3,judge,n./v.,法官；判斷,題句中 judge 是法官，命令男子停止威脅妻子。,,,,judge a case：審理案件；court judge：法院法官；judge by appearance：以外表判斷,court：法院；law：法律；decision：決定,,,This exam uses a judge in context.：這份考卷在語境中使用 judge。
W092,3,threaten,v.,威脅；恐嚇；危及,題句中 threatening his wife 表示威脅妻子。,,,,threaten someone：威脅某人；threaten to resign：威脅要辭職；threaten safety：危及安全,danger：危險；fear：恐懼；violence：暴力,,,This exam uses a threaten in context.：這份考卷在語境中使用 threaten。
W093,3,swindle,v./n.,詐騙；騙取,第3題干擾選項，表示用欺騙方式取得金錢。,,,,swindle money：詐騙金錢；be swindled out of：被騙走……；a financial swindle：金融詐騙,fraud：詐欺；deception：欺騙；scam：詐騙,,,This exam uses a swindle in context.：這份考卷在語境中使用 swindle。
W094,3,canonize,v.,封為聖人；正式推崇,第3題干擾選項，宗教語境中指封聖。,,,,canonize a saint：封聖；be canonized as：被封為……；canonized writer：被奉為經典的作家,saint：聖人；church：教會；honor：榮耀,,,This exam uses a canonize in context.：這份考卷在語境中使用 canonize。
W095,3,grudge,n./v.,怨恨；勉強給予,第3題干擾選項，常用 hold a grudge against + 人。,,,,hold a grudge：懷恨；bear no grudge：不記仇；grudge someone success：嫉妒某人成功,resentment：怨恨；anger：憤怒；forgiveness：原諒,,,This exam uses a grudge in context.：這份考卷在語境中使用 grudge。
W096,4,roommate,n.,室友,題句中 John told his roommates he would meet them。,,,,college roommate：大學室友；share with a roommate：和室友同住；roommate agreement：室友協議,dormitory：宿舍；friend：朋友；apartment：公寓,,,This exam uses a roommate in context.：這份考卷在語境中使用 roommate。
W097,4,mall,n.,購物中心；商場,題句中 meet them in the mall 表示在商場碰面。,,,,shopping mall：購物中心；mall entrance：商場入口；meet at the mall：在商場碰面,store：商店；shop：店鋪；customer：顧客,,,This exam uses a mall in context.：這份考卷在語境中使用 mall。
W098,4,peeved,adj.,惱怒的；不高興的,第4題干擾選項，表示 irritated。,,,,feel peeved：覺得惱怒；look peeved：看起來不高興；peeved about：對……惱怒,anger：生氣；annoyance：煩惱；mood：心情,,,This exam uses a peeved in context.：這份考卷在語境中使用 peeved。
W099,4,perched,adj./v.,棲息的；坐落於高處的,第4題干擾選項，常指鳥或人停在高處。,,,,perched on a branch：棲在樹枝上；perched high：位於高處；a perched village：坐落高處的村莊,bird：鳥；branch：樹枝；height：高度,,,This exam uses a perched in context.：這份考卷在語境中使用 perched。
W100,5,corps,n.,隊伍；兵團；團體,題句中 the corps 指一群人或隊伍。,,,,medical corps：醫療隊；press corps：記者團；corps of volunteers：志工隊,group：團體；team：團隊；unit：單位,,,This exam uses a corps in context.：這份考卷在語境中使用 corps。
W101,5,cafeteria,n.,自助餐廳；學校餐廳,題句中隊伍朝 cafeteria doors 移動。,,,,school cafeteria：學校餐廳；cafeteria food：餐廳食物；cafeteria doors：餐廳門口,meal：餐；lunch：午餐；dining hall：餐廳,,,This exam uses a cafeteria in context.：這份考卷在語境中使用 cafeteria。
W102,5,building,n.,建築物,基礎名詞，表示試題中的建築物。,,,,office building：辦公大樓；school building：校舍；building entrance：建築入口,door：門；room：房間；structure：結構,,,This exam uses a building in context.：這份考卷在語境中使用 building。
W103,6,philosopher,n.,哲學家,題句中 Plato 是重要哲學家。,,,,Greek philosopher：希臘哲學家；moral philosopher：道德哲學家；philosopher's ideas：哲學家的思想,philosophy：哲學；Socrates：蘇格拉底；wisdom：智慧,,,This exam uses a philosopher in context.：這份考卷在語境中使用 philosopher。
W104,6,conversation,n.,談話；對話,題句中指 Socrates 的 conversations。,,,,have a conversation：談話；record a conversation：記錄對話；daily conversation：日常對話,dialogue：對話；discussion：討論；speech：言談,,,This exam uses a conversation in context.：這份考卷在語境中使用 conversation。
W105,6,survive,v.,存活；流傳下來,題句中 teachings have survived 指教導流傳至今。,,,,survive a disaster：災後存活；survive for centuries：流傳數世紀；survival rate：存活率,continue：持續；remain：保留；life：生命,,,This exam uses a survive in context.：這份考卷在語境中使用 survive。
W106,6,enlighten,v.,啟發；使了解,題句中 teachings continue to enlighten seekers of wisdom。,,,,enlighten students：啟發學生；be enlightened by：受……啟發；enlightening discussion：有啟發性的討論,wisdom：智慧；teaching：教導；knowledge：知識,,,This exam uses an enlighten in context.：這份考卷在語境中使用 enlighten。
W107,7,identical,adj.,相同的；一模一樣的,題句中 twins look identical，但意見不同。,,,,identical twins：同卵雙胞胎；identical copy：完全相同的副本；almost identical：幾乎相同,same：相同；twin：雙胞胎；similarity：相似,,,This exam uses an identical in context.：這份考卷在語境中使用 identical。
W108,7,topic,n.,主題；話題,題句中 every topic under the sun 表示幾乎所有話題。,,,,research topic：研究主題；discussion topic：討論話題；topic sentence：主題句,issue：議題；subject：主題；question：問題,,,This exam uses a topic in context.：這份考卷在語境中使用 topic。
W109,7,disconsolate,adj.,悲傷沮喪的；無法安慰的,第7題干擾選項，表示非常難過。,,,,feel disconsolate：感到悲傷；disconsolate child：傷心的孩子；disconsolate mood：沮喪情緒,sadness：悲傷；grief：哀傷；comfort：安慰,,,This exam uses a disconsolate in context.：這份考卷在語境中使用 disconsolate。
W110,7,distinguished,adj.,卓越的；著名的；高貴的,第7題干擾選項，常形容人有成就。,,,,distinguished professor：傑出教授；distinguished career：卓越職涯；distinguished guest：貴賓,honor：榮譽；achievement：成就；reputation：名聲,,,This exam uses a distinguished in context.：這份考卷在語境中使用 distinguished。
W111,8,noteworthy,adj.,值得注意的；顯著的,題句中 professor is a noteworthy intellect。,,,,noteworthy achievement：值得注意的成就；noteworthy feature：顯著特色；particularly noteworthy：特別值得注意,importance：重要性；feature：特色；attention：注意,,,This exam uses a noteworthy in context.：這份考卷在語境中使用 noteworthy。
W112,8,intellect,n.,智力；有才智的人,題句中 noteworthy intellect 指傑出的知識分子。,,,,human intellect：人類智力；public intellect：公共知識分子；intellectual ability：智力能力,mind：心智；intelligence：智力；thinker：思想家,,,This exam uses an intellect in context.：這份考卷在語境中使用 intellect。
W113,8,colleague,n.,同事；同僚,題句中 her colleagues 指她的同事。,,,,work colleague：工作同事；academic colleague：學術同僚；former colleague：前同事,coworker：同事；team：團隊；workplace：職場,,,This exam uses a colleague in context.：這份考卷在語境中使用 colleague。
W114,8,maladroit,adj.,笨拙的；不靈巧的,題句中 maladroit teaching strategies 指笨拙的教學策略。,,,,maladroit handling：笨拙處理；maladroit strategy：拙劣策略；socially maladroit：社交笨拙,awkwardness：笨拙；strategy：策略；skill：技巧,,,This exam uses a maladroit in context.：這份考卷在語境中使用 maladroit。
W474,8,adroit,adj.,熟練的；靈巧的,字首反義詞補充列；去除字首 mal-，形成反義詞。,去除字首 mal-，形成反義詞。,,,adroit handling：熟練處理；adroit strategy：巧妙策略；politically adroit：政治上精明的,skill：技巧；strategy：策略；dexterity：靈巧,skillful：熟練的；deft：靈巧的,maladroit：笨拙的,adroit is the prefix antonym form recorded for review.：adroit 是本列補充的字首反義詞，供複習使用。
W115,9,description,n.,描述；說明,題句中 from his descriptions of a world。,,,,detailed description：詳細描述；job description：職務說明；description of a place：地點描述,writer：作家；detail：細節；account：敘述,,,This exam uses a description in context.：這份考卷在語境中使用 description。
W116,9,apathy,n.,冷漠；無興趣,第9題干擾選項，表示缺乏情感或關心。,,,,political apathy：政治冷漠；public apathy：大眾冷漠；show apathy toward：對……冷漠,indifference：漠不關心；interest：興趣；emotion：情緒,,,This exam uses an apathy in context.：這份考卷在語境中使用 apathy。
W117,9,adherence,n.,遵守；堅持；附著,第9題干擾選項，常用 adherence to rules。,,,,adherence to rules：遵守規則；strict adherence：嚴格遵守；adherence to treatment：遵從治療,rule：規則；discipline：紀律；compliance：遵守,,,This exam uses an adherence in context.：這份考卷在語境中使用 adherence。
W118,10,tranquilizer,n.,鎮靜劑,題句中 tranquilizers usually have a soporific effect。,,,,take tranquilizers：服用鎮靜劑；tranquilizer abuse：鎮靜劑濫用；prescribe a tranquilizer：開鎮靜劑,drug：藥物；sleep：睡眠；sedation：鎮靜,,,This exam uses a tranquilizer in context.：這份考卷在語境中使用 tranquilizer。
W119,10,abuse,n./v.,濫用；虐待,題句中 abuse of these drugs 指藥物濫用。,,,,drug abuse：藥物濫用；abuse power：濫用權力；child abuse：兒童虐待,misuse：誤用；harm：傷害；addiction：成癮,,,This exam uses an abuse in context.：這份考卷在語境中使用 abuse。
W120,10,induce,v.,引起；誘發,題句中 induce sleep 表示誘發睡眠。,,,,induce sleep：誘發睡眠；induce labor：引產；induce a response：引起反應,cause：造成；trigger：觸發；effect：效果,,,This exam uses an induce in context.：這份考卷在語境中使用 induce。
W121,10,debilitating,adj.,使衰弱的；削弱體力的,第10題干擾選項，常形容疾病或疼痛。,,,,debilitating disease：使人衰弱的疾病；debilitating pain：使人虛弱的疼痛；debilitating effect：削弱作用,weakness：虛弱；illness：疾病；fatigue：疲勞,,,This exam uses a debilitating in context.：這份考卷在語境中使用 debilitating。
W122,10,sedulous,adj.,勤勉的；孜孜不倦的,第10題干擾選項，形容人努力勤奮。,,,,sedulous student：勤勉學生；sedulous effort：勤奮努力；sedulous care：細心照料,diligence：勤勉；effort：努力；work：工作,,,This exam uses a sedulous in context.：這份考卷在語境中使用 sedulous。
W123,11,afford,v.,負擔得起；提供,題句中 cannot afford a car 表示買不起車。,,,,afford a car：買得起車；cannot afford to：負擔不起做……；afford an opportunity：提供機會,money：金錢；cost：成本；opportunity：機會,,,This exam uses an afford in context.：這份考卷在語境中使用 afford。
W124,11,bicycle,n.,腳踏車；自行車,題句中 rides a bicycle to commute。,,,,ride a bicycle：騎腳踏車；bicycle lane：自行車道；commute by bicycle：騎車通勤,transportation：交通；road：道路；commute：通勤,,,This exam uses a bicycle in context.：這份考卷在語境中使用 bicycle。
W125,12,as soon as,conj. phr.,一……就……,文法片語，引導時間副詞子句。,,,,as soon as possible：盡快；as soon as I arrive：我一到就……；call as soon as：一……就打電話,time clause：時間子句；leave：離開；call：電話,,,This exam uses an as soon as in context.：這份考卷在語境中使用 as soon as。
W126,12,at times,adv. phr.,有時；偶爾,第12題干擾選項，表示 sometimes。,,,,at times difficult：有時很困難；at times confusing：有時令人困惑；feel lonely at times：有時感到孤單,sometimes：有時；occasionally：偶爾；frequency：頻率,,,This exam uses an at times in context.：這份考卷在語境中使用 at times。
W127,12,as though,conj. phr.,好像；彷彿,第12題干擾選項，引導方式或假設語氣。,,,,act as though：表現得好像；look as though：看起來好像；as though nothing happened：彷彿沒事發生,comparison：比較；manner：方式；appearance：外觀,,,This exam uses an as though in context.：這份考卷在語境中使用 as though。
W128,13,spore,n.,孢子,生物題句中 bacterial spores 指細菌孢子。,,,,bacterial spores：細菌孢子；spore formation：孢子形成；spore germination：孢子萌發,bacteria：細菌；germination：萌發；microorganism：微生物,,,This exam uses a spore in context.：這份考卷在語境中使用 spore。
W129,13,sprout,v./n.,發芽；芽,題句中 germinate and sprout 指萌發生長。,,,,seeds sprout：種子發芽；sprout leaves：長出葉子；bean sprouts：豆芽,plant：植物；growth：生長；seed：種子,,,This exam uses a sprout in context.：這份考卷在語境中使用 sprout。
W130,14,settlement,n.,定居地；和解；解決,題句 Cherokee Indian Settlements 指切羅基印第安人聚落。,,,,Indian settlement：印第安聚落；legal settlement：法律和解；settlement agreement：和解協議,community：社群；village：村莊；territory：領土,,,This exam uses a settlement in context.：這份考卷在語境中使用 settlement。
W131,14,in addition,adv. phr.,此外；另外,第14題干擾選項，用於補充資訊。,,,,"in addition to：除了……之外；in addition,：此外；additional information：補充資訊",moreover：此外；also：也；extra：額外,,,This exam uses an in addition in context.：這份考卷在語境中使用 in addition。
W132,15,fire-resistant,adj.,防火的；耐火的,題句中 fire-resistant materials 用於飛機安全。,,,,fire-resistant material：防火材料；fire-resistant door：防火門；fire-resistant design：防火設計,safety：安全；aircraft：飛機；accident：事故,,,This exam uses a fire-resistant in context.：這份考卷在語境中使用 fire-resistant。
W133,15,material,n.,材料；資料；素材,題句中 materials 指製造或保護用材料。,,,,building material：建材；study material：學習資料；raw material：原料,substance：物質；resource：資源；fabric：布料,,,This exam uses a material in context.：這份考卷在語境中使用 material。
W134,15,aircraft,n.,飛機；航空器,題句中 modern aircraft 指現代飛機。,,,,modern aircraft：現代航空器；aircraft cabin：飛機客艙；aircraft accident：飛機事故,plane：飛機；flight：飛行；aviation：航空,,,This exam uses an aircraft in context.：這份考卷在語境中使用 aircraft。
W135,15,passenger cabin,n.,客艙,題句中 passenger cabin 指飛機乘客艙。,,,,damage to the passenger cabin：客艙損害；aircraft passenger cabin：飛機客艙；cabin safety：客艙安全,passenger：乘客；aircraft：飛機；seat：座位,,,This exam uses a passenger cabin in context.：這份考卷在語境中使用 passenger cabin。
W136,17,exhibition,n.,展覽；展示,題句中 attend exhibitions 表示參加展覽。,,,,attend an exhibition：參觀展覽；art exhibition：藝術展；trade exhibition：商展,museum：博物館；display：展示；visitor：參觀者,,,This exam uses an exhibition in context.：這份考卷在語境中使用 exhibition。
W137,17,vendor,n.,攤販；賣方；供應商,第17題選項，常見於商業脈絡。,,,,street vendor：路邊攤販；software vendor：軟體供應商；vendor contract：供應商合約,seller：賣方；customer：顧客；market：市場,,,This exam uses a vendor in context.：這份考卷在語境中使用 vendor。
W138,19,embarrassing,adj.,令人尷尬的,題句中 This is most embarrassing 表示很尷尬。,,,,embarrassing moment：尷尬時刻；embarrassing mistake：令人尷尬的錯誤；feel embarrassed：覺得尷尬,shame：羞愧；mistake：錯誤；social situation：社交場合,,,This exam uses an embarrassing in context.：這份考卷在語境中使用 embarrassing。
W139,19,wallet,n.,錢包,題句中 left my wallet at home。,,,,leave one's wallet at home：把錢包忘在家；lost wallet：遺失的錢包；wallet app：錢包 App,money：錢；bill：帳單；payment：付款,,,This exam uses a wallet in context.：這份考卷在語境中使用 wallet。
W140,20,concern,n./v.,關心的事；擔憂；涉及,題句中 not my concern 表示不關我的事。,,,,my concern：我關心的事；public concern：公共關切；concern about safety：對安全的擔憂,issue：議題；worry：擔心；responsibility：責任,,,This exam uses a concern in context.：這份考卷在語境中使用 concern。
W141,7,disconnected,adj.,分離的；不連貫的；斷線的,第7題干擾選項，可形容意見、系統或敘述彼此不連貫。,,,,disconnected ideas：不連貫的想法；disconnected from：與……脫節；feel disconnected：感到疏離,connection：連結；network：網路；idea：想法,,,This exam uses a disconnected in context.：這份考卷在語境中使用 disconnected。
W472,7,connected,adj.,連接的；有關聯的；連貫的,字首反義詞補充列；去除字首 dis-，形成反義詞。,去除字首 dis-，形成反義詞。,,,connected ideas：連貫的想法；be connected to：連接到……；closely connected：密切相關,connection：連結；network：網路；relationship：關係,linked：連接的；related：相關的,disconnected：分離的,connected is the prefix antonym form recorded for review.：connected 是本列補充的字首反義詞，供複習使用。
W142,23,intransitive,adj.,不及物的,第23題干擾選項，文法上指動詞不直接接受受詞。,,,,intransitive verb：不及物動詞；intransitive use：不及物用法；be intransitive：是不及物的,grammar：文法；verb：動詞；object：受詞,,,This exam uses an intransitive in context.：這份考卷在語境中使用 intransitive。
W473,23,transitive,adj.,及物的,字首反義詞補充列；去除字首 in-，形成反義詞。,去除字首 in-，形成反義詞。,,,transitive verb：及物動詞；transitive use：及物用法；transitive construction：及物結構,grammar：文法；verb：動詞；object：受詞,object-taking：可接受受詞的,intransitive：不及物的,transitive is the prefix antonym form recorded for review.：transitive 是本列補充的字首反義詞，供複習使用。
W143,46-50,improper,adj.,不適當的；不正確的,閱讀文章中 improper training 指訓練不當，可能造成臨床人員誤用 AI。,,,,improper training：不當訓練；improper use：不當使用；improper conduct：不當行為,training：訓練；misuse：誤用；safety：安全,,,This exam uses an improper in context.：這份考卷在語境中使用 improper。
W479,46-50,proper,adj.,適當的；正確的,字首反義詞補充列；去除字首 im-，形成反義詞。,去除字首 im-，形成反義詞。,,,proper training：適當訓練；proper use：正確使用；proper procedure：正確程序,training：訓練；procedure：程序；safety：安全,appropriate：適當的; correct：正確的,improper：不適當的,proper is the prefix antonym form recorded for review.：proper 是本列補充的字首反義詞，供複習使用。
W144,21-25,customer,n.,顧客,Amazon Fresh / Go 文章中指商店顧客。,,,,customer in context：在語境中使用 customer；learn customer：學習 顧客,exam passage：考卷文章；context：語境；review：複習,,,This exam uses a customer in context.：這份考卷在語境中使用 customer。
W145,21-25,purchase,n./v.,購買；購買物,AI 系統計算顧客購買的商品。,,,,purchase in context：在語境中使用 purchase；learn purchase：學習 購買；購買物,exam passage：考卷文章；context：語境；review：複習,,,This exam uses a purchase in context.：這份考卷在語境中使用 purchase。
