word_id,source_range,單字,詞性,定義,用法,詞性變化,三態（現在式-過去式-過去分詞）,現在分詞（V-ing）,常見搭配,相關字,同義字,反義字,範例
W145,18,revolution,n.,革命；重大變革,dotcom revolution。,,,,revolution in context：在語境中使用 revolution；learn revolution：學習「革命；重大變革」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses revolution in context.：考卷在語境中使用 revolution。
W146,18,survive,v.,存活；撐過,surviving dotcoms。,,survive-survived-survived,surviving,survive in context：在語境中使用 survive；learn survive：學習「存活；撐過」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses survive in context.：考卷在語境中使用 survive。
W147,18,skip,v.,跳過,skipped the first step。,,skip-skiped-skiped,skiping,skip in context：在語境中使用 skip；learn skip：學習「跳過」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses skip in context.：考卷在語境中使用 skip。
W148,18,benefit,n./v.,好處；受益,realizing the benefits。,,,,benefit in context：在語境中使用 benefit；learn benefit：學習「好處；受益」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses benefit in context.：考卷在語境中使用 benefit。
W149,18,brick-and-mortar,adj.,實體店面的,brick-and-mortar location。,,,,brick-and-mortar in context：在語境中使用 brick-and-mortar；learn brick-and-mortar：學習「實體店面的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses brick-and-mortar in context.：考卷在語境中使用 brick-and-mortar。
W150,18,location,n.,地點；店址,opening a location。,,,,location in context：在語境中使用 location；learn location：學習「地點；店址」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses location in context.：考卷在語境中使用 location。
W151,19,chance,n.,機會,the chance of seeing scenery。,,,,chance in context：在語境中使用 chance；learn chance：學習「機會」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses chance in context.：考卷在語境中使用 chance。
W152,19,scenery,n.,風景,beautiful scenery in Barcelona。,,,,scenery in context：在語境中使用 scenery；learn scenery：學習「風景」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses scenery in context.：考卷在語境中使用 scenery。
W153,19,agree,v.,同意,agreed to go on the trip。,,agree-agreed-agreed,agreing,agree in context：在語境中使用 agree；learn agree：學習「同意」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses agree in context.：考卷在語境中使用 agree。
W154,19,pass up,phr. v.,放棄；錯過,didn't want to pass up the chance。,,,,pass up in context：在語境中使用 pass up；learn pass up：學習「放棄；錯過」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses pass up in context.：考卷在語境中使用 pass up。
W155,19,draw up,phr. v.,起草；停下,第19題干擾選項。,,,,draw up in context：在語境中使用 draw up；learn draw up：學習「起草；停下」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses draw up in context.：考卷在語境中使用 draw up。
W156,19,take up,phr. v.,開始從事；占用,第19題干擾選項。,,,,take up in context：在語境中使用 take up；learn take up：學習「開始從事；占用」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses take up in context.：考卷在語境中使用 take up。
W157,19,set up,phr. v.,設立；安排,第19題干擾選項。,,,,set up in context：在語境中使用 set up；learn set up：學習「設立；安排」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses set up in context.：考卷在語境中使用 set up。
W158,20,application,n.,申請；應用程式,My application was held up。,,,,application in context：在語境中使用 application；learn application：學習「申請；應用程式」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses application in context.：考卷在語境中使用 application。
W159,20,postal,adj.,郵政的,postal strike。,,,,postal in context：在語境中使用 postal；learn postal：學習「郵政的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses postal in context.：考卷在語境中使用 postal。
W160,20,strike,n./v.,罷工；打擊,postal strike。,,,,strike in context：在語境中使用 strike；learn strike：學習「罷工；打擊」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses strike in context.：考卷在語境中使用 strike。
W161,20,hold up,phr. v.,延誤；支撐；搶劫,application was held up by the strike。,,,,hold up in context：在語境中使用 hold up；learn hold up：學習「延誤；支撐；搶劫」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses hold up in context.：考卷在語境中使用 hold up。
W162,21-25,Gen Z,n.,Z 世代,文章討論 Gen Z employees。,,,,Gen Z in context：在語境中使用 Gen Z；learn Gen Z：學習「Z 世代」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses Gen Z in context.：考卷在語境中使用 Gen Z。
W163,21-25,employee,n.,員工,Gen Z employees。,,,,employee in context：在語境中使用 employee；learn employee：學習「員工」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses employee in context.：考卷在語境中使用 employee。
W164,21-25,thrive,v.,蓬勃發展；適應良好,Gen Z employees are thriving。,,thrive-thrived-thrived,thriving,thrive in context：在語境中使用 thrive；learn thrive：學習「蓬勃發展；適應良好」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses thrive in context.：考卷在語境中使用 thrive。
W165,21-25,workforce,n.,勞動力；職場人口,entered the workforce。,,,,workforce in context：在語境中使用 workforce；learn workforce：學習「勞動力；職場人口」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses workforce in context.：考卷在語境中使用 workforce。
W166,21-25,flexibility,n.,彈性,workplace flexibility is commonplace。,,,,flexibility in context：在語境中使用 flexibility；learn flexibility：學習「彈性」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses flexibility in context.：考卷在語境中使用 flexibility。
W167,21-25,commonplace,adj./n.,普遍的；常見的,flexibility is commonplace。,,,,commonplace in context：在語境中使用 commonplace；learn commonplace：學習「普遍的；常見的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses commonplace in context.：考卷在語境中使用 commonplace。
W168,21-25,digital,adj.,數位的,digital communication。,,,,digital in context：在語境中使用 digital；learn digital：學習「數位的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses digital in context.：考卷在語境中使用 digital。
W169,21-25,communication,n.,溝通,digital communication。,,,,communication in context：在語境中使用 communication；learn communication：學習「溝通」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses communication in context.：考卷在語境中使用 communication。
W170,21-25,however,adv.,然而,轉折副詞。,,,,however in context：在語境中使用 however；learn however：學習「然而」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses however in context.：考卷在語境中使用 however。
W171,21-25,expert,n.,專家,some experts are concerned。,,,,expert in context：在語境中使用 expert；learn expert：學習「專家」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses expert in context.：考卷在語境中使用 expert。
W172,21-25,concerned,adj.,擔心的；關切的,experts are concerned。,,,,concerned in context：在語境中使用 concerned；learn concerned：學習「擔心的；關切的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses concerned in context.：考卷在語境中使用 concerned。
W173,21-25,remote,adj.,遠端的,remote work arrangements。,,,,remote in context：在語境中使用 remote；learn remote：學習「遠端的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses remote in context.：考卷在語境中使用 remote。
W174,21-25,hybrid,adj.,混合的,hybrid work arrangements。,,,,hybrid in context：在語境中使用 hybrid；learn hybrid：學習「混合的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses hybrid in context.：考卷在語境中使用 hybrid。
W175,21-25,arrangement,n.,安排；配置,work arrangements。,,,,arrangement in context：在語境中使用 arrangement；learn arrangement：學習「安排；配置」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses arrangement in context.：考卷在語境中使用 arrangement。
W176,21-25,early-career,adj.,職涯早期的,early-career workers。,,,,early-career in context：在語境中使用 early-career；learn early-career：學習「職涯早期的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses early-career in context.：考卷在語境中使用 early-career。
W177,21-25,revolve around,phr. v.,圍繞；以……為中心,worries revolve around absence。,,,,revolve around in context：在語境中使用 revolve around；learn revolve around：學習「圍繞；以……為中心」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses revolve around in context.：考卷在語境中使用 revolve around。
W178,21-25,absence,n.,缺乏；缺席,absence of workplace intangibles。,,,,absence in context：在語境中使用 absence；learn absence：學習「缺乏；缺席」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses absence in context.：考卷在語境中使用 absence。
W179,21-25,workplace,n.,職場,workplace intangibles。,,,,workplace in context：在語境中使用 workplace；learn workplace：學習「職場」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses workplace in context.：考卷在語境中使用 workplace。
W180,21-25,casual,adj.,隨意的；非正式的,casual conversations。,,,,casual in context：在語境中使用 casual；learn casual：學習「隨意的；非正式的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses casual in context.：考卷在語境中使用 casual。
W181,21-25,informal,adj.,非正式的,informal observations。,,,,informal in context：在語境中使用 informal；learn informal：學習「非正式的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses informal in context.：考卷在語境中使用 informal。
W182,21-25,observation,n.,觀察,informal observations。,,,,observation in context：在語境中使用 observation；learn observation：學習「觀察」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses observation in context.：考卷在語境中使用 observation。
W183,21-25,traditionally,adv.,傳統上,traditionally teach young employees。,,,,traditionally in context：在語境中使用 traditionally；learn traditionally：學習「傳統上」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses traditionally in context.：考卷在語境中使用 traditionally。
W184,21-25,amid,prep.,在……之中,Amid virtual settings。,,,,amid in context：在語境中使用 amid；learn amid：學習「在……之中」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses amid in context.：考卷在語境中使用 amid。
W185,21-25,virtual,adj.,虛擬的,virtual settings。,,,,virtual in context：在語境中使用 virtual；learn virtual：學習「虛擬的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses virtual in context.：考卷在語境中使用 virtual。
W186,21-25,entry-level,adj.,初階的；入門的,entry-level workers。,,,,entry-level in context：在語境中使用 entry-level；learn entry-level：學習「初階的；入門的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses entry-level in context.：考卷在語境中使用 entry-level。
W187,21-25,miss out on,phr. v.,錯過,workers are missing out on cues。,,,,miss out on in context：在語境中使用 miss out on；learn miss out on：學習「錯過」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses miss out on in context.：考卷在語境中使用 miss out on。
W188,21-25,pick up,phr. v.,學會；撿起；接收,picking up vital cues。,,,,pick up in context：在語境中使用 pick up；learn pick up：學習「學會；撿起；接收」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses pick up in context.：考卷在語境中使用 pick up。
W189,21-25,vital,adj.,重要的；攸關生命的,vital cues。,,,,vital in context：在語境中使用 vital；learn vital：學習「重要的；攸關生命的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses vital in context.：考卷在語境中使用 vital。
W190,21-25,cue,n.,線索；提示,cues guide behavior。,,,,cue in context：在語境中使用 cue；learn cue：學習「線索；提示」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses cue in context.：考卷在語境中使用 cue。
W191,21-25,behavior,n.,行為,guide behavior。,,,,behavior in context：在語境中使用 behavior；learn behavior：學習「行為」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses behavior in context.：考卷在語境中使用 behavior。
W192,21-25,collaboration,n.,合作,guide collaboration。,,,,collaboration in context：在語境中使用 collaboration；learn collaboration：學習「合作」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses collaboration in context.：考卷在語境中使用 collaboration。
W193,21-25,networking,n.,建立人脈,guide networking。,,,,networking in context：在語境中使用 networking；learn networking：學習「建立人脈」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses networking in context.：考卷在語境中使用 networking。
W194,21-25,norm,n.,規範；常態,understanding norms。,,,,norm in context：在語境中使用 norm；learn norm：學習「規範；常態」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses norm in context.：考卷在語境中使用 norm。
W195,21-25,value,n.,價值觀；價值,understanding values。,,,,value in context：在語境中使用 value；learn value：學習「價值觀；價值」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses value in context.：考卷在語境中使用 value。
W196,21-25,etiquette,n.,禮儀；規矩,understanding etiquette。,,,,etiquette in context：在語境中使用 etiquette；learn etiquette：學習「禮儀；規矩」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses etiquette in context.：考卷在語境中使用 etiquette。
W197,21-25,out of bounds,phr.,越界的；不可接觸的,Are some people out of bounds?,,,,out of bounds in context：在語境中使用 out of bounds；learn out of bounds：學習「越界的；不可接觸的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses out of bounds in context.：考卷在語境中使用 out of bounds。
W198,21-25,promptly,adv.,迅速地；立刻,questions were promptly answered。,,,,promptly in context：在語境中使用 promptly；learn promptly：學習「迅速地；立刻」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses promptly in context.：考卷在語境中使用 promptly。
W199,21-25,face-to-face,adj./adv.,面對面的,face-to-face settings。,,,,face-to-face in context：在語境中使用 face-to-face；learn face-to-face：學習「面對面的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses face-to-face in context.：考卷在語境中使用 face-to-face。
W200,21-25,setting,n.,環境；場合,face-to-face settings。,,,,setting in context：在語境中使用 setting；learn setting：學習「環境；場合」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses setting in context.：考卷在語境中使用 setting。
W201,21-25,desk drop-by,n.,到座位旁順道拜訪,workplace informal learning example。,,,,desk drop-by in context：在語境中使用 desk drop-by；learn desk drop-by：學習「到座位旁順道拜訪」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses desk drop-by in context.：考卷在語境中使用 desk drop-by。
W202,21-25,social comparison,n.,社會比較,Social comparison is harder remotely。,,,,social comparison in context：在語境中使用 social comparison；learn social comparison：學習「社會比較」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses social comparison in context.：考卷在語境中使用 social comparison。
W203,21-25,environment,n.,環境,remote or hybrid environment。,,,,environment in context：在語境中使用 environment；learn environment：學習「環境」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses environment in context.：考卷在語境中使用 environment。
W204,21-25,horrendous,adj.,可怕的；糟糕的,第21題干擾選項。,,,,horrendous in context：在語境中使用 horrendous；learn horrendous：學習「可怕的；糟糕的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses horrendous in context.：考卷在語境中使用 horrendous。
W205,21-25,ubiquitous,adj.,無所不在的；普遍的,digital communication is ubiquitous。,,,,ubiquitous in context：在語境中使用 ubiquitous；learn ubiquitous：學習「無所不在的；普遍的」,commonplace：普遍；digital：數位,widespread：普遍的,rare：罕見的,The exam uses ubiquitous in context.：考卷在語境中使用 ubiquitous。
W206,21-25,filterable,adj.,可過濾的,第21題干擾選項。,,,,filterable in context：在語境中使用 filterable；learn filterable：學習「可過濾的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses filterable in context.：考卷在語境中使用 filterable。
W207,21-25,retrospective,adj./n.,回顧的；回顧展,第21題干擾選項。,,,,retrospective in context：在語境中使用 retrospective；learn retrospective：學習「回顧的；回顧展」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses retrospective in context.：考卷在語境中使用 retrospective。
W208,21-25,inconsequently,adv.,不合邏輯地；不連貫地,第22題干擾選項。,,,,inconsequently in context：在語境中使用 inconsequently；learn inconsequently：學習「不合邏輯地；不連貫地」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses inconsequently in context.：考卷在語境中使用 inconsequently。
W209,21-25,intangible,n./adj.,無形事物；無形的,workplace intangibles 指職場中難以明說的無形學習。,,,,intangible in context：在語境中使用 intangible；learn intangible：學習「無形事物；無形的」,norm：規範；cue：線索,abstract：抽象的,tangible：有形的,The exam uses intangible in context.：考卷在語境中使用 intangible。
W210,21-25,insufferable,adj./n.,令人無法忍受的,第23題干擾選項。,,,,insufferable in context：在語境中使用 insufferable；learn insufferable：學習「令人無法忍受的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses insufferable in context.：考卷在語境中使用 insufferable。
W211,21-25,sufferable,adj.,可忍受的,字首反義詞補充列；去除字首 in-，形成反義詞。,去除字首 in-，形成反義詞。,,,sufferable in context：在語境中使用 sufferable；learn sufferable：學習「可忍受的」,exam passage：考卷文章；context：語境；review：複習,,insufferable,The exam uses sufferable in context.：考卷在語境中使用 sufferable。
W212,21-25,insusceptible,adj.,不易受影響的,第23題干擾選項。,,,,insusceptible in context：在語境中使用 insusceptible；learn insusceptible：學習「不易受影響的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses insusceptible in context.：考卷在語境中使用 insusceptible。
W213,21-25,susceptible,adj.,易受影響的；易感染的,字首反義詞補充列；去除字首 in-，形成反義詞。,去除字首 in-，形成反義詞。,,,susceptible in context：在語境中使用 susceptible；learn susceptible：學習「易受影響的；易感染的」,exam passage：考卷文章；context：語境；review：複習,,insusceptible,The exam uses susceptible in context.：考卷在語境中使用 susceptible。
W214,21-25,insatiable,adj.,無法滿足的；貪得無厭的,第23題干擾選項。,,,,insatiable in context：在語境中使用 insatiable；learn insatiable：學習「無法滿足的；貪得無厭的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses insatiable in context.：考卷在語境中使用 insatiable。
W215,21-25,satiable,adj.,可滿足的,字首反義詞補充列；去除字首 in-，形成反義詞。,去除字首 in-，形成反義詞。,,,satiable in context：在語境中使用 satiable；learn satiable：學習「可滿足的」,exam passage：考卷文章；context：語境；review：複習,,insatiable,The exam uses satiable in context.：考卷在語境中使用 satiable。
W216,26-30,hyperreality,n.,超真實；擬真超越現實,文章主題，指現實與模擬難以區分。,,,,hyperreality in context：在語境中使用 hyperreality；learn hyperreality：學習「超真實；擬真超越現實」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses hyperreality in context.：考卷在語境中使用 hyperreality。
W217,26-30,semiotics,n.,符號學,hyperreality in semiotics。,,,,semiotics in context：在語境中使用 semiotics；learn semiotics：學習「符號學」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses semiotics in context.：考卷在語境中使用 semiotics。
W218,26-30,postmodernism,n.,後現代主義,hyperreality in postmodernism。,,,,postmodernism in context：在語境中使用 postmodernism；learn postmodernism：學習「後現代主義」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses postmodernism in context.：考卷在語境中使用 postmodernism。
W219,26-30,inability,n.,無能力；不能,inability of consciousness to distinguish。,,,,inability in context：在語境中使用 inability；learn inability：學習「無能力；不能」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses inability in context.：考卷在語境中使用 inability。
W220,26-30,ability,n.,能力,字首反義詞補充列；去除字首 in-，形成反義詞。,去除字首 in-，形成反義詞。,,,ability in context：在語境中使用 ability；learn ability：學習「能力」,exam passage：考卷文章；context：語境；review：複習,,inability,The exam uses ability in context.：考卷在語境中使用 ability。
W221,26-30,consciousness,n.,意識,consciousness distinguishes reality from simulation。,,,,consciousness in context：在語境中使用 consciousness；learn consciousness：學習「意識」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses consciousness in context.：考卷在語境中使用 consciousness。
W222,26-30,distinguish,v.,區分；辨別,distinguish reality from simulation。,,distinguish-distinguished-distinguished,distinguishing,distinguish in context：在語境中使用 distinguish；learn distinguish：學習「區分；辨別」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses distinguish in context.：考卷在語境中使用 distinguish。
W223,26-30,reality,n.,現實,reality and simulation。,,,,reality in context：在語境中使用 reality；learn reality：學習「現實」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses reality in context.：考卷在語境中使用 reality。
W224,26-30,simulation,n.,模擬；仿真,simulation of reality。,,,,simulation in context：在語境中使用 simulation；learn simulation：學習「模擬；仿真」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses simulation in context.：考卷在語境中使用 simulation。
W225,26-30,technologically,adv.,科技上地,technologically advanced societies。,,,,technologically in context：在語境中使用 technologically；learn technologically：學習「科技上地」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses technologically in context.：考卷在語境中使用 technologically。
W226,26-30,advanced,adj.,先進的；進階的,advanced postmodern societies。,,,,advanced in context：在語境中使用 advanced；learn advanced：學習「先進的；進階的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses advanced in context.：考卷在語境中使用 advanced。
W227,26-30,society,n.,社會,postmodern societies。,,,,society in context：在語境中使用 society；learn society：學習「社會」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses society in context.：考卷在語境中使用 society。
W228,26-30,condition,n.,狀態；條件,hyperreality is seen as a condition。,,,,condition in context：在語境中使用 condition；learn condition：學習「狀態；條件」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses condition in context.：考卷在語境中使用 condition。
W229,26-30,fiction,n.,虛構；小說,what is real and what is fiction。,,,,fiction in context：在語境中使用 fiction；learn fiction：學習「虛構；小說」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses fiction in context.：考卷在語境中使用 fiction。
W230,26-30,seamlessly,adv.,無縫地；流暢地,real and fiction are seamlessly blended。,,,,seamlessly in context：在語境中使用 seamlessly；learn seamlessly：學習「無縫地；流暢地」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses seamlessly in context.：考卷在語境中使用 seamlessly。
W231,26-30,blend,v.,混合；融合,reality and fiction blended together。,,blend-blended-blended,blending,blend in context：在語境中使用 blend；learn blend：學習「混合；融合」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses blend in context.：考卷在語境中使用 blend。
W232,26-30,distinction,n.,區別；差異,no clear distinction。,,,,distinction in context：在語境中使用 distinction；learn distinction：學習「區別；差異」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses distinction in context.：考卷在語境中使用 distinction。
W233,26-30,co-mingling,n.,混合；交融,co-mingling of physical and virtual reality。,,,,co-mingling in context：在語境中使用 co-mingling；learn co-mingling：學習「混合；交融」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses co-mingling in context.：考卷在語境中使用 co-mingling。
W234,26-30,physical,adj.,實體的；物理的,physical reality。,,,,physical in context：在語境中使用 physical；learn physical：學習「實體的；物理的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses physical in context.：考卷在語境中使用 physical。
W235,26-30,artificial intelligence,n.,人工智慧,human intelligence with artificial intelligence。,,,,artificial intelligence in context：在語境中使用 artificial intelligence；learn artificial intelligence：學習「人工智慧」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses artificial intelligence in context.：考卷在語境中使用 artificial intelligence。
W236,26-30,concept,n.,概念,concept of hyperreality。,,,,concept in context：在語境中使用 concept；learn concept：學習「概念」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses concept in context.：考卷在語境中使用 concept。
W237,26-30,contentiously,adv.,有爭議地,concept was contentiously coined。,,,,contentiously in context：在語境中使用 contentiously；learn contentiously：學習「有爭議地」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses contentiously in context.：考卷在語境中使用 contentiously。
W238,26-30,uncontentiously,adv.,無爭議地,字首反義詞補充列；加上字首 un-，形成反義詞。,加上字首 un-，形成反義詞。,,,uncontentiously in context：在語境中使用 uncontentiously；learn uncontentiously：學習「無爭議地」,exam passage：考卷文章；context：語境；review：複習,,contentiously,The exam uses uncontentiously in context.：考卷在語境中使用 uncontentiously。
W239,26-30,coin,v.,創造新詞,coined by Jean Baudrillard。,,coin-coined-coined,coining,coin in context：在語境中使用 coin；learn coin：學習「創造新詞」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses coin in context.：考卷在語境中使用 coin。
W240,26-30,sociologist,n.,社會學家,French sociologist Jean Baudrillard。,,,,sociologist in context：在語境中使用 sociologist；learn sociologist：學習「社會學家」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses sociologist in context.：考卷在語境中使用 sociologist。
W241,26-30,define,v.,定義,defined it as...。,,define-defined-defined,defining,define in context：在語境中使用 define；learn define：學習「定義」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses define in context.：考卷在語境中使用 define。
W242,26-30,generation,n.,產生；世代,generation by models。,,,,generation in context：在語境中使用 generation；learn generation：學習「產生；世代」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses generation in context.：考卷在語境中使用 generation。
W243,26-30,model,n.,模型；模範,generation by models。,,,,model in context：在語境中使用 model；learn model：學習「模型；模範」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses model in context.：考卷在語境中使用 model。
W244,26-30,origin,n.,起源,a real without origin。,,,,origin in context：在語境中使用 origin；learn origin：學習「起源」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses origin in context.：考卷在語境中使用 origin。
W245,26-30,representation,n.,再現；代表,Hyperreality is a representation。,,,,representation in context：在語境中使用 representation；learn representation：學習「再現；代表」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses representation in context.：考卷在語境中使用 representation。
W246,26-30,sign,n.,符號；跡象,a sign without an original referent。,,,,sign in context：在語境中使用 sign；learn sign：學習「符號；跡象」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses sign in context.：考卷在語境中使用 sign。
W247,26-30,original,adj./n.,原始的；原作,without an original referent。,,,,original in context：在語境中使用 original；learn original：學習「原始的；原作」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses original in context.：考卷在語境中使用 original。
W248,26-30,unoriginal,adj.,非原創的；缺乏原創性的,字首反義詞補充列；加上字首 un-，形成反義詞。,加上字首 un-，形成反義詞。,,,unoriginal in context：在語境中使用 unoriginal；learn unoriginal：學習「非原創的；缺乏原創性的」,exam passage：考卷文章；context：語境；review：複習,,original,The exam uses unoriginal in context.：考卷在語境中使用 unoriginal。
W249,26-30,referent,n.,所指物；指涉對象,a sign without a referent。,,,,referent in context：在語境中使用 referent；learn referent：學習「所指物；指涉對象」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses referent in context.：考卷在語境中使用 referent。
W250,26-30,symbol,n.,象徵；符號,symbol represents the real。,,,,symbol in context：在語境中使用 symbol；learn symbol：學習「象徵；符號」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses symbol in context.：考卷在語境中使用 symbol。
W251,26-30,represent,v.,代表；象徵,symbol represents something。,,represent-represented-represented,representing,represent in context：在語境中使用 represent；learn represent：學習「代表；象徵」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses represent in context.：考卷在語境中使用 represent。
W252,26-30,actually,adv.,實際上,does not actually exist。,,,,actually in context：在語境中使用 actually；learn actually：學習「實際上」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses actually in context.：考卷在語境中使用 actually。
W253,26-30,exist,v.,存在,something that does not exist。,,exist-existed-existed,existing,exist in context：在語境中使用 exist；learn exist：學習「存在」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses exist in context.：考卷在語境中使用 exist。
W254,26-30,case in point,phr.,恰當例子,Santa Claus is a case in point。,,,,case in point in context：在語境中使用 case in point；learn case in point：學習「恰當例子」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses case in point in context.：考卷在語境中使用 case in point。
W255,26-30,factual,adj.,事實的,第28題干擾選項。,,,,factual in context：在語境中使用 factual；learn factual：學習「事實的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses factual in context.：考卷在語境中使用 factual。
W256,26-30,intellectual,adj.,智力的；知識的,第28題干擾選項。,,,,intellectual in context：在語境中使用 intellectual；learn intellectual：學習「智力的；知識的」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses intellectual in context.：考卷在語境中使用 intellectual。
W257,26-30,signifier,n.,能指；符號形式,symbols/signifiers represent something。,,,,signifier in context：在語境中使用 signifier；learn signifier：學習「能指；符號形式」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses signifier in context.：考卷在語境中使用 signifier。
W258,26-30,sojourn,n./v.,短暫停留,第30題干擾選項。,,,,sojourn in context：在語境中使用 sojourn；learn sojourn：學習「短暫停留」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses sojourn in context.：考卷在語境中使用 sojourn。
W259,26-30,setback,n.,挫折；阻礙,第30題干擾選項。,,,,setback in context：在語境中使用 setback；learn setback：學習「挫折；阻礙」,exam passage：考卷文章；context：語境；review：複習,,,The exam uses setback in context.：考卷在語境中使用 setback。
